rotation x;rotation z;real x;real z
337.8795;11.14654;-6.193744;3.184727
338.2813;11.30087;-6.081224;3.22882
338.8438;11.50281;-5.923724;3.286516
339.1454;11.61753;-5.839301;3.319296
339.5016;11.71729;-5.739539;3.347796
339.8574;11.84597;-5.639922;3.384563
340.204;11.93921;-5.542877;3.411202
340.5174;12.0291;-5.455121;3.436886
340.8727;12.11179;-5.355641;3.460512
341.3555;12.23285;-5.220452;3.495099
341.8521;12.34599;-5.081426;3.527426
342.2148;12.41224;-4.979852;3.546355
342.5305;12.48185;-4.891472;3.566243
342.9969;12.55502;-4.760863;3.587147
343.3973;12.63012;-4.648754;3.608605
343.8776;12.71608;-4.514282;3.633166
344.2603;12.76069;-4.407103;3.645912
344.6515;12.8233;-4.297583;3.6638
345.0358;12.88324;-4.189985;3.680927
345.4163;12.92195;-4.083447;3.691986
345.8163;12.97027;-3.971441;3.705793
346.1964;13.00465;-3.865005;3.715615
346.5958;13.04751;-3.753177;3.727859
347.0119;13.08554;-3.636659;3.738726
347.4771;13.11672;-3.5064;3.747634
347.8564;13.15154;-3.400204;3.757584
348.2294;13.17526;-3.295776;3.764361
348.6739;13.20002;-3.171311;3.771434
349.1118;13.22209;-3.0487;3.777739
349.4142;13.24196;-2.964028;3.783417
349.7979;13.25587;-2.856593;3.787393
350.1339;13.26925;-2.762513;3.791214
350.503;13.28367;-2.659171;3.795333
350.9134;13.29011;-2.544242;3.797175
351.2716;13.2995;-2.443942;3.799858
351.6314;13.30668;-2.343197;3.801908
352.0554;13.30875;-2.224499;3.802501
352.4213;13.30987;-2.122037;3.802821
352.7797;13.30654;-2.021677;3.801868
353.0574;13.31;-1.943927;3.802858
353.5566;13.30398;-1.804141;3.801136
353.9503;13.29837;-1.693928;3.799535
354.4324;13.28686;-1.558927;3.796245
354.7684;13.2778;-1.464847;3.793657
355.1712;13.26591;-1.352072;3.790262
355.5866;13.24518;-1.235749;3.784337
355.8796;13.23289;-1.153701;3.780826
356.2808;13.2122;-1.041387;3.774914
356.6756;13.19031;-0.930824;3.768661
357.1393;13.16484;-0.8009839;3.761384
357.6198;13.12796;-0.6664698;3.750846
358.2564;13.07839;-0.4882056;3.736682
358.5827;13.0489;-0.3968347;3.728256
359.0213;13.00664;-0.2740442;3.716182
359.4335;12.95638;-0.1586108;3.701822
359.8372;12.90654;-0.04557861;3.687584
0.3168878;12.84667;0.08872859;3.670478
0.6128214;12.81751;0.17159;3.662145
0.9562666;12.7612;0.2677547;3.646058
1.349491;12.69866;0.3778576;3.62819
1.733883;12.63468;0.4854872;3.60991
1.985247;12.59277;0.5558691;3.597935
2.362248;12.5224;0.6614293;3.577829
2.730498;12.44763;0.7645395;3.556467
3.100685;12.36546;0.8681918;3.53299
3.511495;12.28173;0.9832186;3.509066
3.863394;12.18934;1.081751;3.482667
4.351206;12.05332;1.218338;3.443807
4.693481;11.94953;1.314175;3.414152
5.078026;11.83616;1.421847;3.381761
5.414867;11.718;1.516163;3.347999
5.770113;11.59018;1.615631;3.311481
6.204132;11.43246;1.737157;3.266417
6.561363;11.28657;1.837182;3.224734
6.864912;11.13487;1.922175;3.181391
7.263279;10.93926;2.033718;3.125503
7.540786;10.80104;2.11142;3.08601
7.922638;10.58045;2.218339;3.022985
8.293185;10.34295;2.322092;2.95513
8.65517;10.13322;2.423448;2.895207
8.960075;9.905628;2.508821;2.83018
9.262804;9.662368;2.593585;2.760677
9.565186;9.409362;2.678252;2.688389
9.876971;9.087417;2.765552;2.596405
